University,Location
Case Western Reserve University, United States
University of Alberta, Canada
Stockholm University, Sweden
Rheinische Friedrich-Wilhelms-Universität Bonn, Germany
University of California, Davis
London School of Economics and Political Science (LSE), United Kingdom
Lund University, Sweden
Fudan University, China
Radboud University Nijmegen, Netherlands
University of Liverpool, United Kingdom
Technical University of Denmark, Denmark
Nanjing University, China
Kyoto University, Japan
Arizona State University, United States
University of Freiburg, Germany
Cardiff University, United Kingdom
University of Gothenburg, Sweden
Seoul National University, South Korea
Université catholique de Louvain (UCLouvain), Belgium
University of Birmingham, United Kingdom
Leiden University, Netherlands
Korea Advanced Institute of Science & Technology (KAIST), South Korea
National Taiwan University (NTU), Taiwan
Institut Polytechnique de Paris, France
Osaka University, Japan
Hong Kong University of Science and Technology, Hong Kong
Tokyo Institute of Technology (Tokyo Tech), Japan
Lomonosov Moscow State University, Russia
Universiti Malaya (UM,University of Malaya)
Queen Mary University of London, United Kingdom
University of Helsinki, Finland
University of Southampton, United Kingdom
Trinity College Dublin (The University of Dublin), Ireland
Université de Montréal, Canada
KTH Royal Institute of Technology, Sweden
King Abdulaziz University (KAU), Saudi Arabia
Aalto University, Finland
Tohoku University, Japan
Korea University, South Korea
Universidade de São Paulo, Brazil
Freie Universitaet Berlin, Germany
Humboldt-Universität zu Berlin, Germany
Lancaster University, United Kingdom
University of Technology Sydney, Australia
Newcastle University, United Kingdom
Karlsruhe Institute of Technology (KIT), Germany
The University of Exeter, United Kingdom
University of Waterloo, Canada
University of Vienna (Universität Wien), Austria
University of York, United Kingdom
University of Rochester, United States
Aarhus University, Denmark
Technische Universität Berlin (TU Berlin), Germany
RWTH Aachen University, Germany
Alma Mater Studiorum - University of Bologna, Italy
Texas A&M University, United States
Sapienza University of Rome, Italy
University College Dublin, Ireland
University of Florida, United States
University of Lausanne, Switzerland
Eberhard Karls Universität Tübingen, Germany
Dartmouth College, United States
University of Wollongong, Australia
Curtin University (formerly Curtin University of Technology), Australia
Technische Universität Dresden (TU Dresden), Germany
University of Otago, New Zealand
University of Newcastle, Australia (UON)
Hebrew University of Jerusalem, Israel
University of Bergen, Norway
Macquarie University, Australia
University of Göttingen, Germany
University of Aberdeen, United Kingdom
University of Notre Dame, United States
Tongji University, China
RMIT University, Australia
Queensland University of Technology (QUT), Australia
Universität Hamburg, Germany
Wuhan University, China
University of Virginia, United States
University of Ottawa, Canada
University of Calgary, Canada
University of Leicester, United Kingdom
Maastricht University, Netherlands
University of Antwerp, Belgium
Harbin Institute of Technology, China
University of Arizona, United States
Université de Paris, France
Tufts University, United States
University of Colorado Boulder, United States
University of Massachusetts Amherst, United States
Università di Padova (University of Padua), Italy
Sun Yat-sen University (Zhongshan University), China
Tel Aviv University, Israel
University of Illinois at Chicago (UIC), United States
Griffith University, Australia
Deakin University, Australia
Universitat Pompeu Fabra (Barcelona), Spain
Xi’an Jiaotong University, China
King Saud University, Saudi Arabia
Rutgers University–New Brunswick, United States
Universidad de Buenos Aires (UBA), Argentina
Yonsei University, South Korea
Pohang University of Science and Technology (POSTECH), South Korea
Durham University, United Kingdom
University of Auckland, New Zealand
University of St Andrews, United Kingdom
Sungkyunkwan University (SKKU), South Korea
Universidad Nacional Autónoma de México (UNAM, National Autonomous University of Mexico)
Nagoya University, Japan
Chalmers University of Technology, Sweden
Eindhoven University of Technology, Netherlands
École Normale Supérieure de Lyon, France
Pontificia Universidad Católica de Chile (UC, Pontifical Catholic University of Chile)
Kyushu University, Japan
Politecnico di Milano (Polytechnic University of Milan), Italy
Universiti Putra Malaysia (UPM, Putra University Malaysia)
Universiti Kebangsaan Malaysia (UKM, National University of Malaysia)
Hokkaido University, Japan
Universiti Sains Malaysia (USM, University of Science Malaysia)
Hanyang University, South Korea
Tecnológico de Monterrey (Monterrey Institute of Technology and Higher Education), Mexico
King Fahd University of Petroleum & Minerals, Saudi Arabia
University of Bath, United Kingdom
Universitat de Barcelona, Spain
University of Western Ontario (Western University), Canada
Al-Farabi Kazakh National University, Kazakhstan
Indian Institute of Technology Bombay (IITB), India
National Tsing Hua University, Taiwan
Technische Universität Wien, Austria
Khalifa University, United Arab Emirates
Universidad de Chile, Chile
Indian Institute of Technology Delhi (IITD), India
Indian Institute of Science, India
University of Twente, Netherlands
Universiti Teknologi Malaysia (University of Technology Malaysia), Malaysia
Keio University, Japan
University of Reading, United Kingdom
Waseda University, Japan
Universidad Autónoma de Madrid (Autonomous University of Madrid), Spain
Universite libre de Bruxelles (ULB), Belgium
Universitat Autònoma de Barcelona (Autonomous University of Barcelona), Spain
Ulsan National Institute of Science and Technology (UNIST), South Korea
Chulalongkorn University, Thailand
Queen's University Belfast, United Kingdom
Universidade Estadual de Campinas (Unicamp, University of Campinas)
Vrije Universiteit Brussel (VUB), Belgium
Complutense University of Madrid, Spain
Qatar University, Qatar
University of Cape Town, South Africa
University of Sussex, United Kingdom
Loughborough University, United Kingdom
Universidad de los Andes, Colombia
Victoria University of Wellington, New Zealand
Queen's University at Kingston (Queen's University), Canada
Università della Svizzera italiana (USI, University of Italian Speaking Switzerland)
American University of Beirut (AUB), Lebanon
Saint Petersburg State University (St Petersburg University), Russia
Ecole des Ponts ParisTech, France
Novosibirsk State University, Russia
Georgetown University, United States
Universiti Brunei Darussalam (UBD), Brunei
National Cheng Kung University (NCKU), Taiwan
Yeshiva University, United States
Gadjah Mada University, Indonesia
Indian Institute of Technology Madras (IITM), India
Mahidol University, Thailand
National University of Ireland Galway, Ireland
Universidad Nacional de Colombia, Colombia
University of Canterbury (Te Whare Wānanga o Waitaha), New Zealand
Sciences Po, France
Kyung Hee University, South Korea
Charles University (Charles University in Prague), Czech Republic
University of Navarra, Spain
National Yang Ming Chiao Tung University, Taiwan
Technical University of Darmstadt, Germany
Beijing Normal University, China
Heriot-Watt University, United Kingdom
Dalhousie University, Canada
Tomsk State University, Russia
University of Surrey, United Kingdom
Southern University of Science and Technology (SUSTech), China
Graz University of Technology, Austria
Indian Institute of Technology Kanpur (IITK), India
Indian Institute of Technology Kharagpur (IIT-KGP), India
Bauman Moscow State Technical University, Russia
Universität Innsbruck, Austria
Massey University, New Zealand
University of Tsukuba, Japan
Hong Kong Baptist University, Hong Kong
United Arab Emirates University, United Arab Emirates
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech), Russia
Universitas Indonesia, Indonesia
Université Paris 1 Panthéon-Sorbonne, France
Belarusian State University, Belarus
University of Porto, Portugal
University of Turku, Finland
Simon Fraser University, Canada
University College Cork, Ireland
North Carolina State University, United States
University of Tartu, Estonia
University of Strathclyde, United Kingdom
Bandung Institute of Technology (ITB), Indonesia
University of Tasmania, Australia
Gwangju Institute of Science and Technology (GIST), South Korea
Higher School of Economics (HSE, HSE University)
University of East Anglia (UEA), United Kingdom
Indiana University Bloomington, United States
University of Miami, United States
Université Grenoble Alpes, France
University of Milan, Italy
University of Warsaw, Poland
Jagiellonian University, Poland
University of Southern Denmark (SDU), Denmark
University of Cologne (Universität zu Köln), Germany
National Taiwan University of Science and Technology (Taiwan Tech), Taiwan
IE University, Spain
RUDN University (Peoples' Friendship University of Russia), Russia
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Russia
Polytechnic University of Catalonia (BarcelonaTech - UPC), Spain
Swinburne University of Technology, Australia
University of Dundee, United Kingdom
Aalborg University, Denmark
Huazhong University of Science and Technology, China
Goethe University Frankfurt, Germany
Northeastern University (Boston), United States
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU), Germany
Pontificia Universidad Católica Argentina, Argentina
University of Macau, Macau
University of South Australia, Australia
L.N. Gumilyov Eurasian National University (ENU), Kazakhstan
Linköping University, Sweden
City, University of London
Technion - Israel Institute of Technology, Israel
Birkbeck, University of London
Taylor's University, Malaysia
National Taiwan Normal University, Taiwan
Politecnico di Torino, Italy
Royal Holloway University of London, United Kingdom
Tianjin University, China
University of Victoria (UVic, British Columbia)
University of Hawaiʻi at Mānoa, United States
Northeastern University (Shenyang), China
Hiroshima University, Japan
Universität Jena, Germany
Universiti Teknologi Brunei, Brunei
Virginia Polytechnic Institute and State University (Virginia Tech, VT)
Kazan (Volga region) Federal University, Russia
UCSI University, Malaysia
Universität Stuttgart, Germany
University of California, Santa Cruz
Brunel University London, United Kingdom
Universidad Carlos III de Madrid (UC3M), Spain
Ural Federal University (UrFU), Russia
Johannes Kepler University Linz, Austria
George Washington University, United States
Tilburg University, Netherlands
University of Lisbon, Portugal
Nankai University, China
University of Utah, United States
National University of Sciences & Technology (NUST Islamabad), Pakistan
University of Jyväskylä, Finland
Ewha Womans University, South Korea
La Trobe University, Australia
MGIMO University, Russia
ITMO University, Russia
Umea University, Sweden
University of Ulm, Germany
Sultan Qaboos University, Oman
Norwegian University of Science and Technology (NTNU), Norway
Universidade Federal do Rio de Janeiro, Brazil
Universitat Politècnica de València, Spain
Lincoln University, New Zealand
Beijing Institute of Technology, China
University of Chemistry and Technology, Prague
University of Connecticut, United States
University of Waikato, New Zealand
University of Oulu, Finland
Julius-Maximilians-Universität Würzburg, Germany
Quaid-i-Azam University, Pakistan
Stony Brook University, SUNY (State University of New York at Stony Brook
Sharif University of Technology, Iran
Tokyo Medical and Dental University (TMDU), Japan
American University of Sharjah, United Arab Emirates
Beihang University (former BUAA), China
University of Kent, United Kingdom
Kobe University, Japan
University of Kansas, United States
University at Buffalo SUNY, United States
University of Pisa, Italy
Vita-Salute San Raffaele University, Italy
SOAS University of London, United Kingdom
Universidad de Palermo (UP), Argentina
Peter the Great St. Petersburg Polytechnic University, Russia
Ruhr-Universität Bochum, Germany
Indian Institute of Technology Guwahati (IITG), India
Tomsk Polytechnic University, Russia
Pontificia Universidad Católica del Perú, Peru
Pakistan Institute of Engineering and Applied Sciences (PIEAS), Pakistan
University of the Philippines, Philippines
Indian Institute of Technology Roorkee (IITR), India
Universidad Austral, Argentina
Vilnius University, Lithuania
Czech Technical University in Prague, Czech Republic
Shandong University, China
University of California, Riverside
Flinders University, Australia
South China University of Technology, China
Taipei Medical University (TMU), Taiwan
Xiamen University, China
Westfälische Wilhelms-Universität Münster, Germany
National Sun Yat-sen University, Taiwan
Pontificia Universidad Javeriana, Colombia
Chung-Ang University (CAU), South Korea
Lappeenranta-Lahti University of Technology LUT, Finland
Tampere University, Finland
Université Laval, Canada
Universiti Teknologi PETRONAS (UTP), Malaysia
University of Colorado, Denver
University of Science and Technology Beijing, China
National Technical University of Athens, Greece
Université de Strasbourg, France
James Cook University, Australia
Johannes Gutenberg Universität Mainz, Germany
Universität Mannheim, Germany
University of Naples Federico II, Italy
University of Witwatersrand, South Africa
Washington State University, United States
Oxford Brookes University, United Kingdom
Wake Forest University, United States
Colorado State University, United States
Rensselaer Polytechnic Institute, United States
Universidade Nova de Lisboa, Portugal
Universidade Federal de São Paulo, Brazil
University of Johannesburg, South Africa
Shanghai University, China
Tulane University, United States
University of Canberra, Australia
University of Essex, United Kingdom
Swansea University, United Kingdom
University of Cyprus (UCY), Cyprus
University of Trento, Italy
University of Tromsø (The Arctic University of Norway), Norway
Illinois Institute of Technology, United States
Hankuk University of Foreign Studies (HUFS), South Korea
The American University in Cairo, Egypt
Umm Al-Qura University, Saudi Arabia
Universität  Leipzig, Germany
Universität des Saarlandes, Germany
University of Milano-Bicocca, Italy
Auckland University of Technology (AUT), New Zealand
Bond University, Australia
Sichuan University, China
University of Florence (Università degli Studi di Firenze), Italy
Brandeis University, United States
University of Coimbra, Portugal
University of Iowa, United States
University of Saskatchewan, Canada
Universidad Politécnica de Madrid (UPM), Spain
University of St. Gallen (HSG), Switzerland
Colorado School of Mines, United States
Far Eastern Federal University, Russia
Goldsmiths, University of London
Martin-Luther-Universität Halle-Wittenberg, Germany
Airlangga University, Indonesia
Amirkabir University of Technology, Iran
Southeast University, China
Universidad de Belgrano, Argentina
National Taipei University of Technology, Taiwan
Universidad de Montevideo (UM), Uruguay
Ben-Gurion University of the Negev, Israel
Hasselt University, Belgium
Universidad ORT Uruguay, Uruguay
University of Stirling, United Kingdom
Florida State University, United States
University of Missouri, Columbia
Bar-Ilan University, Israel
Chiba University, Japan
University of Texas Dallas, United States
Chang Gung University, Taiwan
Université de Liège, Belgium
Auezov South Kazakhstan University (SKU), Kazakhstan
Stellenbosch University, South Africa
The Catholic University of Korea, South Korea
Aston University, United Kingdom
University of Turin (Università degli Studi di Torino), Italy
National University of Science and Technology MISiS, Russia
Universidad de Santiago de Chile (USACH), Chile
Yokohama City University, Japan
Dublin City University, Ireland
Justus-Liebig-University Giessen, Germany
UNESP, Brazil
University of Granada, Spain
Western Sydney University, Australia
Boston College, United States
Christian-Albrechts-University zu Kiel, Germany
Dongguk University, South Korea
Iowa State University, United States
Sogang University, South Korea
"University of Rome ""Tor Vergata"" (University of Rome II)", Italy
York University, Canada
Aix-Marseille University, France
Jilin University, China
Satbayev University, Kazakhstan
Universidad de La Habana, Cuba
Universität Konstanz, Germany
University of Bordeaux, France
University of Delhi, India
University of Klagenfurt, Austria
University of Limerick, Ireland
Warsaw University of Technology, Poland
Bogor Agricultural University, Indonesia
Koç University, Turkey
Missouri University of Science and Technology, United States
Singapore Management University, Singapore
Universidad de Alcalá, Spain
Universiti Utara Malaysia (UUM), Malaysia
University of Balamand, Lebanon
V. N. Karazin Kharkiv National University, Ukraine
Wayne State University, United States
Central South University (Zhongnan University), China
China University of Geosciences, China
Concordia University, Canada
Imam Abdulrahman Bin Faisal University (IAU), Saudi Arabia
National Central University, Taiwan
"Universidad Central ""Marta Abreu"" de Las Villas", Cuba
Université de Montpellier, France
University of Bayreuth, Germany
University of Eastern Finland, Finland
University of Tehran, Iran
Ajou University, South Korea
East China Normal University, China
Hitotsubashi University, Japan
Institut National des Sciences Appliquées de Lyon (INSA Lyon), France
Lehigh University, United States
Nagasaki University, Japan
Saratov State University, Russia
Oregon State University, United States
Saint Joseph University of Beirut (USJ), Lebanon
Southern Federal University, Russia
Universidad de Costa Rica, Costa Rica
Universidad de Zaragoza, Spain
University of Delaware, United States
Aberystwyth University, United Kingdom
Iran University of Science and Technology, Iran
Kyungpook National University, South Korea
Niigata University, Japan
Northwestern Polytechnical University, China
Sabanci University, Turkey
The University of Georgia, United States
The University of Tennessee, Knoxville
University of Ulsan, South Korea
Abai Kazakh National Pedagogical University, Kazakhstan
Aristotle University of Thessaloniki, Greece
Kazakh National Agrarian University (KazNAU), Kazakhstan
Masaryk University, Czech Republic
Middle East Technical University, Turkey
Universidad de Sevilla, Spain
Universidad Panamericana (UP), Mexico
Università Cattolica del Sacro Cuore, Italy
Université Paul Sabatier Toulouse III, France
University of Szeged, Hungary
Altai State University, Russia
Hallym University, South Korea
Inha University, South Korea
Jawaharlal Nehru University, India
Technische Universität Braunschweig, Germany
The New School, United States
Università degli Studi di Pavia, Italy
Université de Fribourg, Switzerland
Cairo University, Egypt
Dalian University of Technology, China
East China University of Science and Technology, China
Holy Spirit University of Kaslik, Lebanon
Hunan University, China
Ivane Javakhishvili Tbilisi State University, Georgia
Jeonbuk National University, South Korea
Osaka City University, Japan
Universität Bremen, Germany
Universitat de Valencia, Spain
University of Minho, Portugal
University of Nebraska - Lincoln, United States
Lebanese American University, Lebanon
Lingnan University, Hong Kong
Murdoch University, Australia
Okayama University, Japan
Samara National Research University, Russia
Universidad Nacional de La Plata (UNLP), Argentina
University of Guelph, Canada
University of South Florida, United States
Applied Science University, Bahrain
Bilkent University, Turkey
Indian Institute of Technology Hyderabad, India
Kumamoto University, Japan
National Chengchi University, Taiwan
Savitribai Phule Pune University, India
"Sofia University ""St. Kliment Ohridski""", Bulgaria
Universidad Externado de Colombia, Colombia
Universität Regensburg, Germany
Université du Québec, Canada
University of Debrecen, Hungary
University of Electronic Science and Technology of China, China
University of Ljubljana, Slovenia
Abo Akademi University, Finland
American University in Dubai, United Arab Emirates
Ateneo de Manila University, Philippines
Bangor University, United Kingdom
Canadian University Dubai, United Arab Emirates
Carleton University, Canada
Central Queensland University (CQUniversity Australia), Australia
Chiang Mai University, Thailand
China Agricultural University, China
Clark University, United States
Coventry University, United Kingdom
Gifu University, Japan
Kanazawa University, Japan
Kingston University, London
Konkuk University, South Korea
Leibniz University Hannover, Germany
Management and Science University, Malaysia
Nanjing University of Science and Technology, China
Palacký University Olomouc, Czech Republic
Pavol Jozef Šafárik University in Košice, Slovakia
Pusan National University, South Korea
Renmin (People's) University of China, China
S.D. Asfendiyarov Kazakh National Medical University, Kazakhstan
Sejong University, South Korea
Shenzhen University, China
Smith College, United States
Soochow University, China
Taras Shevchenko National University of Kyiv, Ukraine
Thammasat University, Thailand
Tokyo University of Agriculture and Technology, Japan
Universidad Anáhuac México, Mexico
Universidad de Concepción, Chile
Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN), Argentina
Universidad Pontificia Comillas, Spain
Universitat Ramon Llull, Spain
University of Aveiro, Portugal
University of Cincinnati, United States
University of Genoa (Università degli Studi di Genova), Italy
University of Hohenheim, Germany
University of Jordan, Jordan
University of Manitoba, Canada
University of Plymouth, United Kingdom
University of Pretoria, South Africa
University of Sharjah, United Arab Emirates
University of Siena, Italy
University of South Carolina, United States
Paris 2 Panthéon-Assas University, France
Victoria University, Australia
American University, United States
Chongqing University, China
College of William and Mary (William & Mary), United States
Comenius University in Bratislava, Slovakia
Drexel University, United States
Edith Cowan University, Australia
Eötvös Loránd University, Hungary
Free University of Bozen-Bolzano, Italy
Howard University, United States
Immanuel Kant Baltic Federal University, Russia
International Islamic University Malaysia (IIUM), Malaysia
Jadavpur University, India
Kagoshima University, Japan
University of Graz, Austria
King Khalid University, Saudi Arabia
Lahore University of Management Sciences (LUMS), Pakistan
Lobachevsky University, Russia
Macau University of Science and Technology, Macau
Michigan Technological University, United States
National and Kapodistrian University of Athens, Greece
National Chung Hsing University, Taiwan
"National Technical University  ""Kharkiv Polytechnic Institute""", Ukraine
Pontifícia Universidade Católica do Rio de Janeiro, Brazil
First Moscow State Medical University (Sechenov University), Russia
Sunway University, Malaysia
Syracuse University, United States
Tokushima University, Japan
Ulster University, United Kingdom
Universidad de Antioquia, Colombia
Universidad ICESI, Colombia
Universidad Peruana Cayetano Heredia (UPCH), Peru
Universidad Pontificia Bolivariana, Colombia
Universidade Federal de Minas Gerais, Brazil
Universität Rostock, Germany
Université Claude Bernard Lyon 1, France
Universiti Teknologi MARA (UiTM), Malaysia
University of Crete, Greece
University of Hull, United Kingdom
University of Hyderabad, India
University of Kentucky, United States
University of Massachusetts Boston, United States
University of Mons, Belgium
University of New Brunswick, Canada
University of New Mexico, United States
University of Oklahoma, United States
University of Oregon, United States
University of Pecs, Hungary
University of Portsmouth, United Kingdom
University of Salamanca, Spain
University of Trieste, Italy
University of Vermont, United States
Zayed University, United Arab Emirates
Abu Dhabi University, United Arab Emirates
Ajman University, United Arab Emirates
Al Ain University, United Arab Emirates
Beijing University of Technology, China
Boğaziçi University, Turkey
Brno University of Technology, Czech Republic
Charles Darwin University, Australia
City University of New York, United States
Gunma University, Japan
Indian Institute of Technology Bhubaneswar, India
Instituto Tecnológico de Buenos Aires (ITBA), Argentina
Istanbul Technical University, Turkey
Al Jouf University, Saudi Arabia
Lebanese University, Lebanon
Middlesex University, United Kingdom
Igor Sikorsky Kyiv Polytechnic Institute, Ukraine
New Jersey Institute of Technology (NJIT), United States
Northumbria University, United Kingdom
Notre Dame University-Louaize (NDU), Lebanon
O.P. Jindal Global University, India
Osaka Prefecture University, Japan
Philipps-Universität Marburg, Germany
Plekhanov Russian University of Economics, Russia
Politecnico di Bari, Italy
Prince Mohammad bin Fahd University, Saudi Arabia
Saint Petersburg Electrotechnical University (ETU-LETI), Russia
Stevens Institute of Technology, United States
Sumy State University, Ukraine
Tokyo Metropolitan University, Japan
Ufa State Aviation Technical University, Russia
Universidad Central de Venezuela, Venezuela
Universidad de La Sabana, Colombia
Universidad de San Andrés (UdeSA), Argentina
Universidad Iberoamericana (IBERO), Mexico
Universidade de Santiago de Compostela, Spain
Universität Potsdam, Germany
Universitat Rovira i Virgili, Spain
Université Côte d'Azur, France
Université de Sousse, Tunisia
University of Bradford, United Kingdom
University of Haifa, Israel
University of Houston, United States
University of Huddersfield, United Kingdom
University of Modena and Reggio Emilia, Italy
University of Southern Queensland, Australia
University of the Basque Country, Spain
University of Westminster, United Kingdom
University of Windsor, Canada
Virginia Commonwealth University, United States
American University of the Middle East, Kuwait
Belarusian National Technical University (BNTU), Belarus
Bournemouth University, United Kingdom
Chonnam National University, South Korea
Chungnam National University, South Korea
Clarkson University, United States
Dankook University, South Korea
Georgia State University, United States
Institut Teknologi Sepuluh Nopember (ITS Surabaya), Indonesia
Instituto Politécnico Nacional (IPN), Mexico
Instituto Tecnológico Autónomo de México (ITAM), Mexico
Jamia Millia Islamia, India
Jinan University, China
Karaganda State Technical University Wikidata], Kazakhstan
Keele University, United Kingdom
Lanzhou University, China
Manipal Academy of Higher Education (MAHE), India
Maynooth University, Ireland
Memorial University of Newfoundland, Canada
Northwest University (China), China
Pontificia Universidad Católica de Valparaíso, Chile
Princess Nora bint Abdul Rahman University (PNU), Saudi Arabia
Riga Technical University, Latvia
Ritsumeikan University, Japan
Shiraz University, Iran
Southern Cross University, Australia
Tallinn University of Technology (TalTech), Estonia
Temple University, United States
Universidad Adolfo Ibáñez, Chile
Universidad de la República (UdelaR), Uruguay
Universidad del Rosario, Colombia
Universidad San Francisco de Quito (USFQ), Ecuador
Universidad Torcuato Di Tella, Argentina
Universidade Federal do Rio Grande Do Sul, Brazil
Università degli Studi di Perugia, Italy
Université de Sherbrooke, Canada
Universiti Tenaga Nasional (UNITEN), Malaysia
University at Albany, SUNY
Heinrich Heine University Düsseldorf, Germany
University of Brescia, Italy
University of Central Florida, United States
University of Denver, United States
University of Greenwich, United Kingdom
University of Maryland, Baltimore County
University of Zagreb, Croatia
Vilnius Gediminas Technical University, Lithuania
Worcester Polytechnic Institute, United States
Academician Y.A. Buketov Karaganda University, Kazakhstan
Adam Mickiewicz University, Poznań
AGH University of Science and Technology, Poland
Ain Shams University, Egypt
Ankara Üniversitesi, Turkey
Anna University, India
Auburn University, United States
Australian Catholic University, Australia
Bangladesh University of Engineering and Technology, Bangladesh
Beijing Foreign Studies University, China
Beijing Jiaotong University, China
Beijing University of Chinese Medicine, China
Beijing University of Posts and Telecommunications, China
Beirut Arab University, Lebanon
Bielefeld University, Germany
Binghamton University SUNY, United States
Budapest University of Technology and Economics, Hungary
Ca' Foscari University of Venice, Italy
Catania University, Italy
Charles Sturt University, Australia
Clemson University, United States
Corvinus University of Budapest, Hungary
Cracow University of Technology (Politechnika Krakowska), Poland
CY Cergy Paris University, France
Czech University of Life Sciences Prague, Czech Republic
De La Salle University, Philippines
De Montfort University, United Kingdom
Edinburgh Napier University, United Kingdom
Financial University under the Government of the Russian Federation, Russia
Florida International University, United States
Fordham University, United States
Gdańsk University of Technology, Poland
George Mason University, United States
German Jordanian University, Jordan
Gulf University for Science and Technology, Kuwait
Hacettepe University, Turkey
Harbin Engineering University, China
Indiana University–Purdue University Indianapolis, United States
International Christian University, Japan
Islamic University of Madinah, Saudi Arabia
Istanbul University, Turkey
Jordan University of Science & Technology, Jordan
Kansas State University, United States
Kasetsart University, Thailand
Kaunas University of Technology, Lithuania
Kazakh Ablai Khan University of International Relations and World Languages, Kazakhstan
Kazakh-British Technical University, Kazakhstan
Kazan National Research Technological University, Russia
Khon Kaen University, Thailand
King Faisal University, Saudi Arabia
King Mongkut's University of Technology Thonburi, Thailand
Kyoto Institute of Technology, Japan
Kyushu Institute of Technology, Japan
Liverpool John Moores University, United Kingdom
Lodz University of Technology, Poland
London Metropolitan University, United Kingdom
London South Bank University, United Kingdom
Louisiana State University, United States
Loyola University Chicago, United States
Lviv Polytechnic National University, Ukraine
Manchester Metropolitan University (MMU), United Kingdom
Mendel University in Brno, Czech Republic
Mendeleev University of Chemical Technology, Russia
Nanjing University of Aeronautics and Astronautics, China
National Chung Cheng University, Taiwan
Nicolaus Copernicus University, Poland
KIMEP University, Kazakhstan
Nottingham Trent University, United Kingdom
Novosibirsk State Technical University, Russia
Oklahoma State University, United States
Paris Lodron University of Salzburg, Austria
Perm State National Research University, Russia
Pondicherry University, India
Pontifícia Universidade Católica de São Paulo, Brazil
Poznań University of Technology, Poland
Prince of Songkla University, Thailand
Princess Sumaya University for Technology, Jordan
Qassim University, Saudi Arabia
Queen Margaret University, United Kingdom
Rhodes University, South Africa
Riga Stradins University, Latvia
Robert Gordon University, United Kingdom
Russian Presidential Academy of National Economy and Public Administration, Russia
Rutgers University–Newark, United States
Ryerson University, Canada
Seattle University, United States
Shinshu University, Japan
Siksha 'O' Anusandhan, India
Silesian University of Technology, Poland
Slovak University of Technology in Bratislava, Slovakia
Sophia University, Japan
South Ural State University (SUSU), Russia
Southern Methodist University, United States
Széchenyi István University, Hungary
Szent Istvan University, Hungary
Technical University of Kosice, Slovakia
Technical University of Liberec, Czech Republic
Technological University Dublin, Ireland
Costa Rica Institute of Technology (TEC), Costa Rica
Texas Tech University, United States
The University of Alabama, United States
Tokyo University of Science, Japan
